ああ あゝ
あっと ＠
あらゆる ∀
ある ∃
あるふぁ Α
あるふぁ α
あるふぁー Α
あるふぁー α
い ゐ
い 囗
いぇん ￥
いおた Ι
いおた ι
いか ≦
いこーる ＝
いじょう ≧
いぷしろん Ε
いぷしろん ε
いん 廴
いーた Η
いーた η
うぃ ゐ
うぇ ゑ
うえ ↑
うえや ↑
うぷしろん Υ
うぷしろん υ
ええた Η
ええた η
えん ￥
えんこ ⌒
えーた Η
えーた η
おす ♂
おとこ ♂
おなじ 〃
おなじ ゝ
おなじ ゞ
おなじ ヽ
おなじ ヾ
おなじ 仝
おなじ 々
おなじく 々
おみくろん Ο
おみくろん ο
おめが Ω
おめが ω
おんぐすとろーむ Å
おんな ♀
おんぷ ♪
おーむ Ω
かい Χ
かい χ
かぎ 「
かぎ 「」
かぎ 」
かぎ 『
かぎ 『』
かぎ 』
かぎかっこ 「
かぎかっこ 」
かぎかっこ 『
かぎかっこ 』
かぎかっこ 【
かぎかっこ 】
かぎかっことじ 」
かぎかっことじ 』
かく ∠
かくかっこ 【
かくかっこ 】
かくかっこ 〔
かくかっこ 〕
かくかっこ ［
かくかっこ ］
かくがっこ 【
かくがっこ 】
かくがっこ 〔
かくがっこ 〕
かくがっこ ［
かくがっこ ］
かけ ×
かける ×
かける ＊
かげん ⊃
かっこ ‘
かっこ ‘’
かっこ ’
かっこ “
かっこ “”
かっこ ”
かっこ 〈
かっこ 〈〉
かっこ 〉
かっこ 《
かっこ 《》
かっこ 》
かっこ 「
かっこ 「」
かっこ 」
かっこ 『
かっこ 『』
かっこ 』
かっこ 【
かっこ 【】
かっこ 】
かっこ 〔
かっこ 〔〕
かっこ 〕
かっこ （
かっこ （）
かっこ ）
かっこ ［
かっこ ［］
かっこ ］
かっこ ｛
かっこ ｛｝
かっこ ｝
かっことじ 〉
かっことじ 》
かっことじ 】
かっぱ Κ
かっぱ κ
かっぷ ∪
かつ ∧
かつ ∩
かど ┌
かど ┐
かど └
かど ┘
かぶ （株）
から →
から ～
かわ 巛
かん 厂
がわ 巛
がんい ⊃
がんだれ 厂
がんま Γ
がんま γ
きごう ー
きごう 々
きごう §
きごう ¨
きごう °
きごう ±
きごう ´
きごう ¶
きごう ×
きごう ÷
きごう Ц
きごう ‐
きごう ―
きごう ‘
きごう ’
きごう “
きごう ”
きごう †
きごう ‡
きごう ‥
きごう …
きごう ‰
きごう ′
きごう ″
きごう ※
きごう ℃
きごう Å
きごう ←
きごう ↑
きごう →
きごう ↓
きごう ∝
きごう ∞
きごう ∠
きごう ∥
きごう ∧
きごう ∨
きごう ∩
きごう ∪
きごう ∫
きごう ∴
きごう ∵
きごう ∽
きごう ≒
きごう ≠
きごう ≡
きごう ≦
きごう ≧
きごう ≪
きごう ≫
きごう ⌒
きごう ■
